location_id,location_name,race_group,year_id,val,lower,upper
523,Alabama,Hispanic and any race,1999,7.054949692,3.074580123,16.17777557
523,Alabama,Hispanic and any race,2000,6.854802233,2.409957432,18.10953917
523,Alabama,Hispanic and any race,2001,7.071386786,2.08513611,21.45547661
523,Alabama,Hispanic and any race,2002,7.665044298,2.526025322,22.41923855
523,Alabama,Hispanic and any race,2003,7.974929845,2.488273149,24.66355879
523,Alabama,Hispanic and any race,2004,7.718915775,2.646450243,23.19165211
523,Alabama,Hispanic and any race,2005,6.989432654,2.649071026,18.09217815
523,Alabama,Hispanic and any race,2006,6.323375567,2.39198687,16.34984572
523,Alabama,Hispanic and any race,2007,6.061480051,2.478888295,14.2548645
523,Alabama,Hispanic and any race,2008,6.293163677,2.747468975,15.68309439
523,Alabama,Hispanic and any race,2009,6.731206342,2.854384914,17.70168027
523,Alabama,Hispanic and any race,2010,7.092682315,3.166928944,16.81475255
523,Alabama,Hispanic and any race,2011,7.255164149,2.958805794,17.60842262
523,Alabama,Hispanic and any race,2012,8.23213718,3.024629821,21.63177724
523,Alabama,Hispanic and any race,2013,10.47103763,4.127617256,24.70227414
523,Alabama,Hispanic and any race,2014,13.62227887,5.446339664,31.84041052
523,Alabama,Hispanic and any race,2015,15.20337553,6.035733079,35.99814504
523,Alabama,Hispanic and any race,2016,15.26961374,6.108309804,35.59330774
523,Alabama,Hispanic and any race,2017,15.3377814,5.491345672,37.62575108
523,Alabama,Hispanic and any race,2018,16.30385945,6.35839426,38.498468
523,Alabama,Hispanic and any race,2019,16.1375434,4.887122648,48.36007663
523,Alabama,Non-Hispanic American Indian and Alaska Native,1999,2.004992947,0.166086343,17.15988385
523,Alabama,Non-Hispanic American Indian and Alaska Native,2000,1.288776695,0.050321105,21.44249425
523,Alabama,Non-Hispanic American Indian and Alaska Native,2001,1.348088403,0.030437068,31.31492845
523,Alabama,Non-Hispanic American Indian and Alaska Native,2002,1.8904653,0.069108215,32.64879966
523,Alabama,Non-Hispanic American Indian and Alaska Native,2003,2.397914422,0.100783922,31.31283037
523,Alabama,Non-Hispanic American Indian and Alaska Native,2004,2.549192628,0.126860256,32.63633111
523,Alabama,Non-Hispanic American Indian and Alaska Native,2005,2.442749351,0.131469773,31.28630906
523,Alabama,Non-Hispanic American Indian and Alaska Native,2006,2.510390974,0.11007995,37.46014211
523,Alabama,Non-Hispanic American Indian and Alaska Native,2007,2.913139184,0.156390593,39.23928922
523,Alabama,Non-Hispanic American Indian and Alaska Native,2008,3.630785055,0.29615707,38.85794295
523,Alabama,Non-Hispanic American Indian and Alaska Native,2009,4.091592378,0.317917748,47.06445637
523,Alabama,Non-Hispanic American Indian and Alaska Native,2010,4.094315342,0.300062868,37.23795897
523,Alabama,Non-Hispanic American Indian and Alaska Native,2011,3.761456184,0.263782687,36.23127123
523,Alabama,Non-Hispanic American Indian and Alaska Native,2012,3.672437879,0.257824911,34.0843035
523,Alabama,Non-Hispanic American Indian and Alaska Native,2013,3.965438898,0.324198985,37.75442993
523,Alabama,Non-Hispanic American Indian and Alaska Native,2014,4.700002213,0.352263451,47.43726658
523,Alabama,Non-Hispanic American Indian and Alaska Native,2015,5.621850407,0.426012019,54.33815073
523,Alabama,Non-Hispanic American Indian and Alaska Native,2016,6.248015628,0.490878165,61.01957635
523,Alabama,Non-Hispanic American Indian and Alaska Native,2017,5.827086186,0.391462153,64.34783993
523,Alabama,Non-Hispanic American Indian and Alaska Native,2018,4.786336944,0.354571635,47.81812621
523,Alabama,Non-Hispanic American Indian and Alaska Native,2019,3.915523408,0.122296895,63.8805396
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",1999,12.41051694,3.379750528,36.36720949
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2000,13.87437191,2.230862621,59.27615957
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2001,14.64625423,1.632962741,81.20084847
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2002,13.31482189,2.399349783,66.75897585
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2003,10.51286541,1.818950052,50.79640192
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2004,8.428360888,1.530432798,36.39207396
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2005,7.506500689,1.46484063,27.85216461
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2006,7.854114124,1.253463623,29.87123267
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2007,9.614967077,1.640435822,36.63006969
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2008,12.60547959,2.603780802,51.55620563
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2009,14.76472432,2.733622172,57.52362317
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2010,15.71259635,3.469185711,61.67725881
523,Alabama,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",2011,15.9546321,3.735280203,61.45090617
